Nazwa przedmiotu,Opis przedmiotu,Godziny zajęć
Algorytmiczna teoria modeli,Zaawansowane metody analizy modeli matematycznych z zastosowaniem algorytmów.,"{(9:00, 10:30), (11:00, 12:30)}"
Algorytmy analizy danych genomicznych,Techniki przetwarzania dużych zbiorów danych genetycznych i genomowych.,"{(14:45, 16:15), (16:30, 18:00)}"
Algorytmy najkrótszych ścieżek,Badanie efektywnych algorytmów znajdowania optymalnych tras w grafach i sieciach.,"{(8:15, 9:45), (10:00, 11:30)}"
Algorytmy parametryzowane,Metody rozwiązywania trudnych problemów obliczeniowych poprzez parametryzację.,"{(13:00, 14:30), (15:00, 16:30)}"
Algorytmy tekstowe,Techniki przetwarzania i analizy dużych ciągów tekstowych.,"{(11:45, 13:15), (13:30, 15:00)}"
Analiza adwersaryjna systemów AI,Metody badania odporności systemów SI na ataki i manipulacje danych.,"{(10:15, 11:45), (12:00, 13:30)}"
Automaty nieskończone,Teoria automatów pracujących na nieskończonych słowach i jej zastosowania.,"{(9:30, 11:00), (11:15, 12:45)}"
Data mining,Techniki eksploracji danych i odkrywania wiedzy z dużych zbiorów informacji.,"{(14:00, 15:30), (16:00, 17:30)}"
Deep learning in life science,Zastosowania głębokiego uczenia maszynowego w naukach biologicznych i medycznych.,"{(8:45, 10:15), (10:30, 12:00)}"
Ekonomia algorytmiczna,Algorytmiczne podejścia do modelowania i analizy systemów ekonomicznych.,"{(12:15, 13:45), (14:00, 15:30)}"
Geometria obliczeniowa,Algorytmy rozwiązywania problemów geometrycznych z zastosowaniami w grafice i wizualizacji.,"{(13:15, 14:45), (15:00, 16:30)}"
Głębokie sieci neuronowe,Zaawansowane architektury sieci neuronowych i metody ich trenowania.,"{(9:15, 10:45), (11:00, 12:30)}"